Uniprot,10,20,30,40,50
P14060,2.06,1.2,1.61,0,-0.03
P26439,1.8,3.57,2.04,2.49,2.69
P29372,-0.64,-0.71,-0.21,-0.3,-1.16
Q96J02,-0.52,-1.34,-0.15,-0.99,-1.97
P52209,1.35,2.2,1.47,1.16,0.51
P80370,1.12,0,0.56,1.46,-0.01
P05112,0.93,-0.93,-3.28,0,-0.4
Q9BQI3,-0.85,0,-2.07,-0.26,-1.89
O43318,1.82,-0.21,-0.53,0,-1.16
O95257,-0.27,-0.65,0.82,-2.07,0
Q7L7X3,-0.22,0,-0.36,-0.14,0.32
P22694,-2.01,-0.63,0.65,0.15,-0.97
Q13105,-0.41,0.95,-1.49,0,-1.41
Q15329,-0.38,-0.26,-0.27,0.2,-1.56
P23771,0.75,1.03,0.44,0,1.4
Q92985,0.13,-0.49,0.36,-0.71,-1.54
Q15788,1.18,0.94,1.27,1.98,1.53
Q15413,1.80 ,3.57 ,2.04 ,2.49 ,2.69 
